player_name,matches,runs,strike_rate,average,wickets,economy,performance_rating
Virat Kohli,14,639,140.2,53.2,0,0,88
Rohit Sharma,14,450,130.1,32.1,0,0,70
Hardik Pandya,13,300,145,25,12,8.2,78
MS Dhoni,12,250,135,40,0,0,75
Jasprit Bumrah,14,30,90,10,18,6.8,85
KL Rahul,12,520,138,47,0,0,82
Shubman Gill,14,550,142,48,0,0,84
Suryakumar Yadav,13,480,155,42,0,0,86
Rishabh Pant,12,410,145,34,0,0,77
Sanju Samson,14,470,150,36,0,0,79
David Warner,13,430,135,33,0,0,75
Shikhar Dhawan,12,390,128,35,0,0,73
Glenn Maxwell,13,360,155,32,5,8.5,74
Cameron Green,12,310,140,30,10,7.8,76
Marcus Stoinis,12,280,145,28,9,8.0,73
Andre Russell,13,250,168,26,14,9.0,80
Sunil Narine,14,120,135,20,16,6.9,83
Ravindra Jadeja,14,220,132,27,12,7.2,81
Yuzvendra Chahal,14,40,95,10,21,7.5,87
Ravi Ashwin,12,60,90,12,15,7.0,82
Mohammad Shami,14,25,80,8,20,7.0,86
Arshdeep Singh,13,15,75,7,17,8.1,79
Bhuvneshwar Kumar,14,30,85,9,16,7.8,80
Trent Boult,13,20,78,8,18,7.5,84
Lockie Ferguson,12,10,70,6,14,8.9,75
Pat Cummins,12,150,140,22,12,8.3,78
Mitchell Starc,10,40,82,10,15,7.9,81
Tim Southee,11,25,75,7,13,8.5,73
Rahul Tewatia,13,210,135,26,4,8.8,72
Deepak Hooda,12,240,130,28,2,7.5,71
Ayush Badoni,11,180,125,24,0,0,65
Shivam Dube,13,320,155,30,1,9.2,76
Tilak Varma,12,310,137,33,0,0,78
Prithvi Shaw,12,290,145,25,0,0,70
Sarfaraz Khan,11,260,132,24,0,0,67
Rahmanullah Gurbaz,10,240,150,23,0,0,72
Ishan Kishan,12,360,142,29,0,0,77
Jonny Bairstow,11,330,150,30,0,0,76
Liam Livingstone,12,280,165,27,3,9.5,74
Faf du Plessis,14,620,148,48,0,0,87
Cody Anderson,13,310,130,26,8,8.0,71
Nathan Ellis,11,35,80,9,14,7.6,75
Jason Holder,12,160,135,22,10,8.4,76
Sam Curran,13,210,138,24,12,8.5,78
Naveen ul Haq,10,12,70,5,11,8.9,72
Harshal Patel,13,40,95,9,18,9.2,80
Shardul Thakur,12,70,100,12,15,9.0,76
Varun Chakravarthy,13,25,85,8,17,7.8,82
Krunal Pandya,12,160,127,24,6,7.9,73
Mohit Sharma,12,30,78,7,16,8.0,79
Vijay Shankar,12,240,135,26,4,7.8,72
Washington Sundar,10,110,120,20,6,7.2,70
T Natarajan,11,15,72,6,14,8.3,74
Umran Malik,10,5,65,4,13,9.5,73
Mayank Agarwal,11,260,128,26,0,0,68
Devdutt Padikkal,12,280,132,28,0,0,71
Abhishek Sharma,13,340,145,30,2,7.5,75
Heinrich Klaasen,13,410,160,36,0,0,82
Aiden Markram,12,290,135,28,2,7.9,73
Harry Brook,11,305,148,29,0,0,77
Joe Root,10,220,125,31,0,0,70
Kane Williamson,12,330,120,35,0,0,75
Ben Stokes,9,180,140,25,6,8.5,71
Jofra Archer,8,35,90,10,11,7.5,76
Quinton de Kock,12,380,145,33,0,0,80
Marcus Harris,11,260,130,27,0,0,68
Moises Henriques,10,190,120,24,5,8.4,69
Colin Munro,11,300,150,28,0,0,74
Shimron Hetmyer,12,305,155,30,0,0,78
Nicholas Pooran,13,420,165,36,0,0,83
Ruturaj Gaikwad,13,560,148,43,0,0,85
Matheesha Pathirana,10,12,70,5,14,7.0,82
Maheesh Theekshana,12,20,80,8,15,7.1,81
Mustafizur Rahman,11,10,65,5,14,8.0,77
Sikandar Raza,10,210,130,24,6,7.8,73
Rahul Tripathi,12,310,142,29,0,0,76
Krishnappa Gowtham,10,120,135,20,5,8.7,70
Sandeep Sharma,11,15,70,6,12,7.2,75
Deepak Chahar,10,25,80,9,13,7.5,76
Mukesh Choudhary,9,8,60,4,12,8.8,72
Arjun Tendulkar,8,30,100,12,6,8.5,69
Nehal Wadhera,10,220,138,26,0,0,72
Shahrukh Khan,11,240,150,28,0,0,75
Rinku Singh,12,350,158,32,0,0,83
Venkatesh Iyer,12,310,145,30,3,8.5,74
Rahul Chahar,10,15,75,6,12,7.9,73
Ishant Sharma,8,5,60,3,10,7.3,70
Khaleel Ahmed,9,10,68,4,11,8.1,72
Prasidh Krishna,8,12,70,5,10,8.9,71
Dewald Brevis,10,240,150,24,1,9.0,74
